CollectionName,SessionId,TestId,Timestamp,RFBand,MOS,RSRP Rx,SINR Rx,RSRQ Rx,DataType
SYNTHETIC_5G_VOICE_2026,1001,1,2026-06-15 09:00:00,n28,3.385,-101.47,6.38,-15.16,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,2,2026-06-15 09:00:05,n28,3.313,-112.73,3.74,-15.9,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,3,2026-06-15 09:00:10,n28,3.387,-98.89,10.18,-15.48,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,4,2026-06-15 09:00:15,n28,3.533,-108.62,-1.92,-19.49,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,5,2026-06-15 09:00:20,n28,3.743,-99.37,6.83,-15.44,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,6,2026-06-15 09:00:25,n28,3.16,-102.05,11.53,-13.54,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,7,2026-06-15 09:00:30,n28,2.567,-109.35,-5.75,-19.57,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,8,2026-06-15 09:00:35,n28,2.389,-92.55,6.69,-18.59,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,9,2026-06-15 09:00:40,n28,3.259,-106.2,3.96,-16.12,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,10,2026-06-15 09:00:45,n28,3.43,-96.1,7.52,-17.37,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,11,2026-06-15 09:00:50,n28,3.661,-95.76,13.97,-15.94,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,12,2026-06-15 09:00:55,n28,3.851,-103.3,7.4,-14.75,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,13,2026-06-15 09:01:00,n28,2.54,-100.8,4.63,-19.67,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,14,2026-06-15 09:01:05,n28,3.827,-106.05,4.11,-15.6,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,15,2026-06-15 09:01:10,n28,3.482,-106.1,2.53,-18.46,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,16,2026-06-15 09:01:15,n28,3.28,-104.82,5.08,-14.4,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,17,2026-06-15 09:01:20,n28,4.216,-88.77,11.52,-14.72,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,18,2026-06-15 09:01:25,n28,3.168,-100.16,8.89,-15.66,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,19,2026-06-15 09:01:30,n28,3.548,-110.81,4.77,-15.99,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1001,20,2026-06-15 09:01:35,n28,3.41,-100.25,7.68,-16.32,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,21,2026-06-15 09:07:00,n28,3.621,-101.28,11.39,-14.06,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,22,2026-06-15 09:07:05,n28,4.227,-83.36,14.28,-15.1,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,23,2026-06-15 09:07:10,n28,4.155,-85.34,11.75,-16.11,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,24,2026-06-15 09:07:15,n28,3.648,-91.74,16.24,-17.44,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,25,2026-06-15 09:07:20,n28,3.676,-92.48,11.42,-11.56,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,26,2026-06-15 09:07:25,n28,3.576,-96.42,6.97,-12.99,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,27,2026-06-15 09:07:30,n28,3.906,-91.58,13.77,-12.41,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,28,2026-06-15 09:07:35,n28,3.579,-93.32,13.6,-16.32,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,29,2026-06-15 09:07:40,n28,3.023,-105.19,5.82,-19.12,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,30,2026-06-15 09:07:45,n28,2.981,-110.49,11.71,-16.47,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,31,2026-06-15 09:07:50,n28,3.867,-95.61,11.36,-16.65,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,32,2026-06-15 09:07:55,n28,3.211,-99.39,9.02,-16.71,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,33,2026-06-15 09:08:00,n28,3.795,-97.93,7.63,-15.94,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,34,2026-06-15 09:08:05,n28,3.864,-86.59,20.01,-15.63,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,35,2026-06-15 09:08:10,n28,3.493,-98.05,6.57,-14.84,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,36,2026-06-15 09:08:15,n28,2.062,-113.44,1.57,-19.48,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,37,2026-06-15 09:08:20,n28,2.948,-106.33,5.88,-15.61,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,38,2026-06-15 09:08:25,n28,3.243,-108.44,4.17,-16.98,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,39,2026-06-15 09:08:30,n28,2.747,-115.83,1.49,-17.75,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1002,40,2026-06-15 09:08:35,n28,3.231,-88.47,6.26,-13.42,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,41,2026-06-15 09:14:00,n28,2.773,-99.47,6.87,-15.92,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,42,2026-06-15 09:14:05,n28,3.425,-82.98,17.1,-16.25,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,43,2026-06-15 09:14:10,n28,3.769,-90.07,7.88,-17.01,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,44,2026-06-15 09:14:15,n28,3.517,-94.11,7.05,-17.25,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,45,2026-06-15 09:14:20,n28,3.505,-102.92,-0.28,-17.61,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,46,2026-06-15 09:14:25,n28,4.066,-81.92,18.59,-12.05,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,47,2026-06-15 09:14:30,n28,2.923,-105.55,6.47,-17.15,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,48,2026-06-15 09:14:35,n28,3.231,-106.61,0.7,-18.41,SYNTHETIC
SYNTHETIC_5G_VOICE_2026,1003,49,2026-06-15 09:14:40,n28,3.217,-102.29,6.54,-14.62,SYNTHETIC
